EMPID,Status,Function,Division,Union Status,Employment Category,Rehire_Date,Total Service Date,Birth Date,Age,Generation,Pay Scale Group,Gender,Ethnic Origin,Action Reason,Last Performance Rating,Last Potential Rating,Rehired,Employee Pay Frequency,ExemptTF,Employee Pay Basis,Manager_ID,Months Since Last Hire,Tenure_Months,Action Change Date,Action Type
60522,Active,Operations,Product,Non-Union,Regular Employee PT,,5-Aug-14,29-Oct-97,17,Generation Y,Not Assigned,Male,U,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2047,15,15,,
63331,Terminated,Operations,Product,Non-Union,Regular Employee FT,,5-Nov-14,10-Sep-96,18,Generation Y,Group C,Male,W,Resigned - Working Conditions,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S3151,0,0,13-Nov-14,Voluntary Separation
62914,Active,Sales,Sales,Non-Union,Regular Employee FT,,22-Oct-14,7-Sep-96,18,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2445,12,12,,
61900,Active,Operations,Product,Union,Regular Employee PT,,11-Sep-14,29-Aug-96,18,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1283,13,13,,
59914,Active,Sales,Sales,Non-Union,Regular Employee PT,,16-Jul-14,31-May-96,19,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2445,15,15,,
61067,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,20-Aug-14,11-May-96,18,Generation Y,Group C,Male,H,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2713,4,4,17-Jan-15,Voluntary Separation
61798,Active,Sales,Sales,Non-Union,Regular Employee PT,,10-Sep-14,8-Mar-96,19,Generation Y,Group C,Female,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2146,14,14,,
61745,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,10-Sep-14,23-Feb-96,18,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S455,2,2,3-Dec-14,Voluntary Separation
62747,Active,Sales,Sales,Union,Regular Employee PT,,15-Oct-14,19-Dec-95,19,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1894,12,12,,
61267,Active,Operations,Product,Non-Union,Regular Employee PT,,27-Aug-14,11-Oct-95,19,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2987,14,14,,
62192,Terminated,Sales,Sales,Union,Regular Employee FT,,24-Sep-14,13-Sep-95,19,Generation Y,Not Assigned,Male,B,Resigned - Job Abandonment,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1126,4,4,20-Feb-15,Voluntary Separation
58562,Terminated,Sales,Sales,Non-Union,Regular Employee PT,18-Jun-14,18-Jun-14,17-Aug-95,19,Generation Y,Group C,Female,W,Resigned - Personal Reasons,No Rating,No Rating,T,Bi-Weekly,F,Hourly,S637,2,2,6-Sep-14,Voluntary Separation
63458,Terminated,Sales,Sales,Union,Regular Employee FT,,12-Nov-14,8-Jul-95,19,Generation Y,Not Assigned,Male,X,Resigned - Job Abandonment,No Rating,No Rating,F,Weekly,F,Daily,S867,1,1,8-Jan-15,Voluntary Separation
61187,Active,Sales,Sales,Union,Regular Employee FT,,20-Aug-14,4-Jul-95,19,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2466,14,14,,
64890,Active,Operations,Product,Non-Union,Regular Employee PT,,31-Dec-14,28-Jun-95,19,Generation Y,Group C,Male,H,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S3196,10,10,,
63312,Active,Sales,Sales,Non-Union,Regular Employee PT,5-Nov-14,5-Nov-14,12-Jun-95,20,Generation Y,Group C,Female,B,,No Rating,No Rating,T,Bi-Weekly,F,Hourly,S3290,12,12,,
64196,Active,Operations,Product,Union,Regular Employee PT,,3-Dec-14,21-May-95,20,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1805,11,11,,
54346,Active,Operations,Product,Union,Regular Employee FT,,4-Dec-13,14-May-95,20,Generation Y,Not Assigned,Male,X,,Too New,Not assigned,F,Weekly,F,Hourly,S3487,23,23,,
56357,Active,Sales,Sales,Non-Union,Regular Employee FT,,16-Apr-14,9-May-95,20,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Daily,S455,18,18,,
56202,Terminated,Operations,Product,Non-Union,Regular Employee FT,,9-Apr-14,24-Apr-95,19,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S384,2,2,9-Jul-14,Voluntary Separation
60828,Terminated,Operations,Product,Non-Union,Regular Employee FT,,13-Aug-14,20-Apr-95,19,Generation Y,Group C,Male,B,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2985,4,4,27-Dec-14,Voluntary Separation
62980,Active,Operations,Product,Non-Union,Regular Employee PT,,22-Oct-14,15-Mar-95,20,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2725,12,12,,
49674,Active,Sales,Sales,Non-Union,Regular Employee PT,,1-May-13,14-Mar-95,20,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S363,30,30,,
64742,Active,Sales,Sales,Non-Union,Regular Employee FT,,24-Dec-14,13-Mar-95,20,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Weekly,F,Hourly,S3789,10,10,,
58757,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,18-Jun-14,3-Mar-95,19,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1893,4,4,13-Nov-14,Voluntary Separation
53405,Active,Sales,Sales,Non-Union,Regular Employee FT,,16-Oct-13,26-Jan-95,20,Generation Y,Group C,Male,W,,Developing/Meets Some,Not assigned,F,Bi-Weekly,F,Hourly,S2479,24,24,,
54659,Active,Operations,Product,Union,Regular Employee FT,,25-Dec-13,16-Jan-95,20,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S284,22,22,,
53603,Active,Sales,Sales,Non-Union,Regular Employee FT,,26-Oct-13,5-Dec-94,20,Generation Y,Group C,Male,W,,Developing/Meets Some,Not assigned,F,Bi-Weekly,F,Daily,S538,24,24,,
64359,Active,Support,Product,Non-Union,Regular Employee FT,,10-Dec-14,2-Dec-94,20,Generation Y,Group C,Male,H,,No Rating,No Rating,F,Weekly,F,Hourly,S4010,11,11,,
65054,Active,Operations,Product,Non-Union,Regular Employee FT,,14-Jan-15,7-Nov-94,20,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2816,9,9,,
48951,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,13-Mar-13,19-Oct-94,20,Generation Y,Group C,Male,W,Resigned - Pay/Benefits,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2146,20,20,4-Dec-14,Voluntary Separation
56692,Active,Sales,Sales,Non-Union,Regular Employee FT,,30-Apr-14,4-Oct-94,20,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Daily,S35,18,18,,
54493,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,11-Dec-13,15-Sep-94,19,Generation Y,Group C,Male,H,Resigned during investigation,Too New,Not assigned,F,Bi-Weekly,F,Hourly,S2674,3,3,25-Mar-14,Voluntary Separation
62484,Active,Operations,Product,Non-Union,Regular Employee PT,,3-Oct-14,12-Sep-94,20,Generation Y,Group C,Male,B,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1978,13,13,,
57430,Active,Operations,Product,Union,Regular Employee FT,,28-May-14,6-Sep-94,20,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2114,17,17,,
59619,Active,Operations,Product,Union,Regular Employee PT,,9-Jul-14,29-Aug-94,20,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1283,16,16,,
52960,Active,Sales,Sales,Non-Union,Regular Employee FT,,18-Sep-13,18-Jul-94,20,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Weekly,F,Hourly,S3715,25,25,,
47135,Active,Operations,Product,Non-Union,Regular Employee FT,,10-Oct-12,4-Jul-94,20,Generation Y,Group C,Male,X,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S3001,37,37,,
49037,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,20-Mar-13,3-Jul-94,20,Generation Y,Group C,Male,W,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2713,17,17,23-Aug-14,Voluntary Separation
58320,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,11-Jun-14,16-Jun-94,20,Generation Y,Group C,Male,W,Resigned - Job Abandonment,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S3099,1,1,30-Jul-14,Voluntary Separation
58613,Active,Sales,Sales,Non-Union,Regular Employee FT,,18-Jun-14,3-Jun-94,21,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1910,16,16,,
52137,Active,Sales,Sales,Non-Union,Regular Employee FT,,7-Aug-13,24-May-94,21,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2516,27,27,,
62326,Active,Operations,Product,Union,Regular Employee PT,,1-Oct-14,3-May-94,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1223,13,13,,
61598,Active,Sales,Sales,Non-Union,Regular Employee FT,,3-Sep-14,29-Apr-94,21,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Daily,S229,14,14,,
61779,Active,Operations,Product,Non-Union,Regular Employee FT,,10-Sep-14,4-Apr-94,21,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2727,14,14,,
63067,Active,Sales,Sales,Non-Union,Regular Employee FT,,22-Oct-14,31-Mar-94,21,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S3099,12,12,,
48335,Terminated,Operations,Product,Non-Union,Regular Employee FT,,23-Jan-13,24-Mar-94,20,Generation Y,Group C,Male,W,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1081,19,19,17-Sep-14,Voluntary Separation
58160,Active,Sales,Sales,Union,Regular Employee PT,,11-Jun-14,23-Mar-94,21,Generation Y,Not Assigned,Female,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2360,17,17,,
53054,Active,Sales,Sales,Union,Regular Employee FT,,25-Sep-13,21-Mar-94,21,Generation Y,Not Assigned,Female,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2641,25,25,,
53828,Active,Operations,Product,Non-Union,Regular Employee FT,,6-Nov-13,17-Mar-94,21,Generation Y,Group C,Male,W,,Too New,Not assigned,F,Bi-Weekly,F,Hourly,S3060,24,24,,
58339,Active,Sales,Sales,Union,Regular Employee FT,,11-Jun-14,4-Mar-94,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Weekly,F,Hourly,S3641,17,17,,
59491,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,9-Jul-14,16-Feb-94,20,Generation Y,Group C,Male,W,Resigned - Career Prospects,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1894,5,5,19-Dec-14,Voluntary Separation
61153,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,20-Aug-14,13-Feb-94,21,Generation Y,Group C,Male,H,,No Rating,No Rating,F,Weekly,F,Hourly,S3868,14,14,,
50786,Active,Operations,Product,Union,Regular Employee FT,,12-Jun-13,12-Feb-94,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2069,28,28,,
50745,Active,Sales,Sales,Union,Regular Employee PT,,12-Jun-13,5-Feb-94,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2381,28,28,,
54360,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,4-Dec-13,14-Jan-94,20,Generation Y,Group C,Male,W,Resigned - Job Abandonment,Too New,Not assigned,F,Bi-Weekly,F,Hourly,S2713,7,7,31-Jul-14,Voluntary Separation
61105,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,20-Aug-14,31-Dec-93,21,Generation Y,Group C,Male,W,Resigned - Job Abandonment,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2943,4,4,16-Jan-15,Voluntary Separation
63902,Active,Sales,Sales,Non-Union,Regular Employee FT,,26-Nov-14,29-Dec-93,21,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Weekly,F,Hourly,S3780,11,11,,
45704,Active,Operations,Product,Non-Union,Regular Employee FT,15-May-13,15-May-13,22-Dec-93,21,Generation Y,Group C,Male,B,,Developing/Meets Some,Not assigned,T,Bi-Weekly,F,Hourly,S2740,29,29,,
59798,Active,Sales,Sales,Union,Regular Employee PT,,16-Jul-14,24-Nov-93,21,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,F,Weekly,F,Hourly,S3701,15,15,,
47087,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,10-Oct-12,20-Nov-93,21,Generation Y,Group C,Male,H,,Does Not Meet,Not assigned,F,Bi-Weekly,F,Hourly,S1508,37,37,,
51806,Active,Support,Product,Union,Regular Employee FT,,24-Jul-13,3-Nov-93,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1334,27,27,,
50983,Active,Sales,Sales,Non-Union,Regular Employee FT,,19-Jun-13,1-Nov-93,21,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Daily,S556,28,28,,
61417,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,27-Aug-14,25-Oct-93,21,Generation Y,Group C,Male,H,Resigned - Personal Reasons,No Rating,No Rating,F,Weekly,F,Hourly,S3659,2,2,26-Nov-14,Voluntary Separation
51513,Active,Sales,Sales,Non-Union,Regular Employee FT,,10-Jul-13,8-Oct-93,21,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2407,28,28,,
64213,Terminated,Sales,Sales,Union,Regular Employee PT,,3-Dec-14,25-Sep-93,21,Generation Y,Not Assigned,Female,B,Resigned - Job Abandonment,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2639,0,0,16-Dec-14,Voluntary Separation
47731,Active,Operations,Product,Non-Union,Regular Employee FT,,28-Nov-12,23-Sep-93,21,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S384,35,35,,
54207,Active,Sales,Sales,Non-Union,Regular Employee PT,,27-Nov-13,7-Sep-93,21,Generation Y,Group C,Male,H,,Too New,Not assigned,F,Bi-Weekly,F,Hourly,S640,23,23,,
55403,Active,Sales,Sales,Non-Union,Regular Employee FT,,30-Jan-14,2-Sep-93,21,Generation Y,Group C,Male,H,,No Rating,No Rating,F,Weekly,F,Hourly,S3451,21,21,,
53785,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,6-Nov-13,17-Aug-93,21,Generation Y,Group C,Male,W,Resigned - Career Prospects,Too New,Not assigned,F,Bi-Weekly,F,Hourly,S2060,9,9,3-Sep-14,Voluntary Separation
51713,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,17-Jul-13,15-Aug-93,20,Generation Y,Group C,Male,H,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S682,10,10,13-Jun-14,Voluntary Separation
63389,Active,Sales,Sales,Non-Union,Regular Employee FT,,5-Nov-14,8-Aug-93,21,Generation Y,Group C,Male,B,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1168,12,12,,
63551,Active,Sales,Sales,Union,Regular Employee PT,,12-Nov-14,6-Aug-93,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2550,11,11,,
50361,Active,Sales,Sales,Union,Regular Employee FT,,29-May-13,3-Aug-93,21,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2709,29,29,,
49942,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,15-May-13,31-Jul-93,21,Generation Y,Group C,Female,B,Resign in lieu of termination,Does Not Meet,Not assigned,F,Bi-Weekly,F,Hourly,S2412,18,18,22-Nov-14,Voluntary Separation
55171,Active,Sales,Sales,Union,Regular Employee FT,,10-Aug-11,16-Jul-93,21,Generation Y,Group C,Male,U,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S3202,21,51,,
48966,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,13-Mar-13,8-Jul-93,21,Generation Y,Group C,Male,B,Resigned - Personal Reasons,Developing/Meets Some,Not assigned,F,Bi-Weekly,F,Hourly,S2506,17,17,29-Aug-14,Voluntary Separation
53552,Active,Sales,Sales,Non-Union,Regular Employee FT,,23-Oct-13,25-Jun-93,21,Generation Y,Group C,Male,X,,Developing/Meets Some,Not assigned,F,Bi-Weekly,F,Hourly,S2632,24,24,,
44615,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,16-May-12,9-Jun-93,21,Generation Y,Group C,Male,W,Resigned - Career Prospects,Developing/Meets Some,Not assigned,F,Weekly,F,Hourly,S3497,30,30,13-Dec-14,Voluntary Separation
56436,Active,Sales,Sales,Non-Union,Regular Employee PT,,17-Apr-14,5-Jun-93,22,Generation Y,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S3239,18,18,,
50877,Terminated,Operations,Product,Non-Union,Regular Employee FT,,12-Jun-13,2-Jun-93,21,Generation Y,Group C,Male,H,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1857,15,15,3-Oct-14,Voluntary Separation
47557,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,14-Nov-12,1-Jun-93,21,Generation Y,Group C,Male,W,Resigned - Pay/Benefits,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2182,24,24,20-Nov-14,Voluntary Separation
53391,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,16-Oct-13,30-May-93,22,Generation Y,Group C,Female,H,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2436,24,24,,
54945,Active,Operations,Product,Non-Union,Regular Employee PT,,15-Jan-14,27-May-93,22,Generation Y,Group C,Male,B,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1443,21,21,,
59298,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,2-Jul-14,27-May-93,21,Generation Y,Group C,Female,H,Resigned - Personal Reasons,No Rating,No Rating,F,Monthly,T,Salary,S5165,2,2,25-Sep-14,Voluntary Separation
62572,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,8-Oct-14,25-May-93,22,Generation Y,Group C,Female,B,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1705,13,13,,
52721,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,11-Sep-13,20-May-93,21,Generation Y,Group C,Male,B,Resigned - Job Abandonment,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S644,11,11,31-Aug-14,Voluntary Separation
61211,Terminated,Operations,Product,Non-Union,Regular Employee PT,,20-Aug-14,7-May-93,21,Generation Y,Group C,Male,B,Resigned - Career Prospects,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1393,0,0,18-Sep-14,Voluntary Separation
60535,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,5-Aug-14,6-May-93,22,Generation Y,Group C,Male,B,,No Rating,No Rating,F,Weekly,F,Hourly,S3960,15,15,,
60131,Active,Operations,Product,Non-Union,Regular Employee FT,,23-Jul-14,2-May-93,22,Generation Y,Group C,Male,B,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2684,15,15,,
60078,Terminated,Operations,Product,Non-Union,Regular Employee FT,,23-Jul-14,17-Apr-93,21,Generation Y,Group C,Female,H,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2573,4,4,28-Nov-14,Voluntary Separation
54764,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,1-Jan-14,5-Apr-93,21,Generation Y,Group C,Male,H,Resigned - Career Prospects,Too New,Not assigned,F,Bi-Weekly,F,Daily,S682,4,4,22-May-14,Voluntary Separation
61481,Active,Sales,Sales,Non-Union,Regular Employee PT,,3-Sep-14,1-Apr-93,22,Generation Y,Group C,Male,B,,No Rating,No Rating,F,Weekly,F,Hourly,S3583,14,14,,
54835,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,8-Jan-14,26-Mar-93,21,Generation Y,Group C,Male,H,Resigned - Personal Reasons,Too New,Not assigned,F,Bi-Weekly,F,Daily,S175,6,6,30-Jul-14,Voluntary Separation
50296,Active,Sales,Sales,Union,Regular Employee FT,16-Apr-14,16-Apr-14,18-Mar-93,22,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,T,Bi-Weekly,F,Hourly,S76,18,18,,
62719,Active,Sales,Sales,Non-Union,Regular Employee PT,,15-Oct-14,16-Mar-93,22,Generation Y,Group C,Male,X,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S352,12,12,,
48184,Active,Operations,Product,Non-Union,Regular Employee FT,,2-Jan-13,4-Mar-93,22,Generation Y,Group C,Male,H,,Does Not Meet,Not assigned,F,Bi-Weekly,F,Hourly,S2153,34,34,,
51820,Active,Sales,Sales,Non-Union,Regular Employee FT,,24-Jul-13,25-Feb-93,22,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2547,27,27,,
56707,Active,Sales,Sales,Non-Union,Regular Employee PT,,30-Apr-14,22-Feb-93,22,Generation Y,Group C,Male,B,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S378,18,18,,
41566,Active,Manufacturing,Product,Non-Union,Regular Employee FT,17-Sep-14,17-Sep-14,18-Feb-93,22,Generation Y,Group C,Male,W,,No Rating,No Rating,T,Bi-Weekly,F,Hourly,S2065,13,13,,
54729,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,1-Jan-14,9-Feb-93,21,Generation Y,Group C,Male,H,Resigned - Career Prospects,Too New,Not assigned,F,Bi-Weekly,F,Hourly,S690,10,10,14-Nov-14,Voluntary Separation
58401,Terminated,Sales,Sales,Non-Union,Regular Employee FT,,12-Jun-14,9-Feb-93,21,Generation Y,Group C,Male,W,Resigned - Career Prospects,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1362,0,0,6-Jul-14,Voluntary Separation
51014,Active,Sales,Sales,Non-Union,Regular Employee FT,,19-Jun-13,7-Feb-93,22,Generation Y,Group C,Male,H,,Developing/Meets Some,Not assigned,F,Bi-Weekly,F,Hourly,S2433,28,28,,
55645,Terminated,Operations,Product,Union,Regular Employee FT,,26-Feb-14,7-Feb-93,21,Generation Y,Not Assigned,Male,W,Resigned - Job Abandonment,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S989,4,4,12-Jul-14,Voluntary Separation
41247,Active,Operations,Product,Union,Regular Employee FT,,15-Jun-11,5-Feb-93,22,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,F,Weekly,F,Hourly,S3642,52,52,,
44818,Active,Operations,Product,Union,Regular Employee PT,,30-May-12,30-Jan-93,22,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1657,41,41,,
56677,Active,Finance & IT,Corporate,Non-Union,Regular Employee FT,,30-Apr-14,20-Jan-93,22,Generation Y,Group C,Female,H,,No Rating,No Rating,F,Weekly,F,Hourly,S3721,18,18,,
45071,Active,Manufacturing,Product,Non-Union,Regular Employee FT,21-Jun-13,21-Jun-13,13-Jan-93,22,Generation Y,Group C,Female,W,,Successfully Meets Expectations,Not assigned,T,Weekly,F,Hourly,S3809,28,28,,
53861,Active,Operations,Product,Non-Union,Regular Employee PT,,9-Nov-13,9-Jan-93,22,Generation Y,Group C,Male,W,,Too New,Not assigned,F,Bi-Weekly,F,Hourly,S1276,24,24,,
48302,Active,Sales,Sales,Non-Union,Regular Employee PT,,16-Jan-13,8-Jan-93,22,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2500,33,33,,
51560,Active,Sales,Sales,Non-Union,Regular Employee FT,,10-Jul-13,8-Jan-93,22,Generation Y,Group C,Male,P,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2036,28,28,,
47379,Active,Sales,Sales,Non-Union,Regular Employee FT,,31-Oct-12,5-Jan-93,22,Generation Y,Group C,Male,H,,Developing/Meets Some,Not assigned,F,Weekly,F,Hourly,S3683,36,36,,
55762,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,12-Mar-14,27-Dec-92,21,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S523,8,8,14-Nov-14,Voluntary Separation
52330,Active,Sales,Sales,Non-Union,Regular Employee PT,,21-Aug-13,23-Dec-92,22,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S569,26,26,,
54478,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,11-Dec-13,1-Dec-92,21,Generation Y,Group C,Male,W,Resigned - Personal Reasons,Too New,Not assigned,F,Bi-Weekly,F,Hourly,S356,7,7,23-Jul-14,Voluntary Separation
55828,Terminated,Operations,Product,Non-Union,Regular Employee FT,,19-Mar-14,27-Nov-92,21,Generation Y,Group C,Male,H,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2796,3,3,12-Jul-14,Voluntary Separation
53260,Active,Sales,Sales,Non-Union,Regular Employee FT,,9-Oct-13,24-Nov-92,22,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2433,25,25,,
55966,Terminated,Sales,Sales,Non-Union,Regular Employee PT,,26-Mar-14,24-Nov-92,21,Generation Y,Group C,Male,W,Resigned - Career Prospects,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2424,2,2,23-Jun-14,Voluntary Separation
47612,Active,Sales,Sales,Non-Union,Regular Employee FT,,21-Nov-12,17-Nov-92,22,Generation Y,Group C,Male,P,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S2050,35,35,,
65081,Active,Sales,Sales,Non-Union,Regular Employee PT,,14-Jan-15,13-Nov-92,22,Generation Y,Group C,Male,B,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S240,9,9,,
58507,Terminated,Operations,Product,Non-Union,Regular Employee PT,,18-Jun-14,8-Nov-92,21,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S2548,3,3,11-Oct-14,Voluntary Separation
62808,Terminated,Operations,Product,Non-Union,Regular Employee FT,,15-Oct-14,5-Nov-92,22,Generation Y,Group C,Male,H,Resigned - Personal Reasons,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1294,3,3,27-Jan-15,Voluntary Separation
44885,Active,Sales,Sales,Non-Union,Regular Employee FT,,30-May-12,30-Oct-92,22,Generation Y,Group C,Male,H,,Meets & Exceeds,Emerging Talent,F,Bi-Weekly,F,Daily,S200,41,41,,
